          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
   patchcore+aug       bottle     1   0.994+-0.001   0.980+-0.001   0.932+-0.002   0.995   339.6
   patchcore+aug       bottle     2   0.998+-0.003   0.980+-0.001   0.935+-0.003   1.000   341.2
   patchcore+aug       bottle     4   0.997+-0.002   0.982+-0.000   0.932+-0.003   1.000   356.2
   patchcore+aug        cable     1   0.843+-0.035   0.926+-0.008   0.762+-0.013   0.533   233.8
   patchcore+aug        cable     2   0.868+-0.016   0.943+-0.007   0.821+-0.021   0.601   240.1
   patchcore+aug        cable     4   0.853+-0.025   0.942+-0.004   0.828+-0.012   0.714   282.7
   patchcore+aug      capsule     1   0.675+-0.020   0.960+-0.005   0.824+-0.021   0.407   258.6
   patchcore+aug      capsule     2   0.727+-0.003   0.970+-0.000   0.852+-0.002   0.492   261.9
   patchcore+aug      capsule     4   0.821+-0.009   0.975+-0.002   0.876+-0.008   0.777   256.2
   patchcore+aug       carpet     1   0.917+-0.009   0.986+-0.001   0.932+-0.004   0.903   204.7
   patchcore+aug       carpet     2   0.951+-0.003   0.987+-0.000   0.937+-0.001   0.910   207.8
   patchcore+aug       carpet     4   0.949+-0.012   0.987+-0.000   0.936+-0.002   0.921   222.5
   patchcore+aug         grid     1   0.435+-0.024   0.661+-0.032   0.267+-0.063   0.064   132.1
   patchcore+aug         grid     2   0.525+-0.101   0.701+-0.043   0.319+-0.070   0.058   140.2
   patchcore+aug         grid     4   0.558+-0.080   0.796+-0.041   0.475+-0.086   0.099   156.3
   patchcore+aug     hazelnut     1   0.902+-0.003   0.944+-0.008   0.864+-0.011   0.643   174.4
   patchcore+aug     hazelnut     2   0.955+-0.021   0.949+-0.005   0.862+-0.008   0.910   174.4
   patchcore+aug     hazelnut     4   0.964+-0.030   0.964+-0.007   0.889+-0.014   0.829   174.0
   patchcore+aug      leather     1   0.971+-0.004   0.991+-0.000   0.970+-0.001   0.971   175.0
   patchcore+aug      leather     2   0.976+-0.005   0.991+-0.000   0.968+-0.000   0.982   178.4
   patchcore+aug      leather     4   0.987+-0.002   0.992+-0.000   0.970+-0.001   0.986   179.4
   patchcore+aug    metal_nut     1   0.715+-0.005   0.895+-0.008   0.715+-0.005   0.376   134.8
   patchcore+aug    metal_nut     2   0.768+-0.098   0.908+-0.015   0.739+-0.038   0.373   136.2
   patchcore+aug    metal_nut     4   0.833+-0.094   0.934+-0.019   0.817+-0.055   0.609   148.8
   patchcore+aug         pill     1   0.768+-0.013   0.949+-0.004   0.873+-0.008   0.579   143.5
   patchcore+aug         pill     2   0.856+-0.024   0.944+-0.002   0.880+-0.011   0.567   145.1
   patchcore+aug         pill     4   0.892+-0.018   0.955+-0.004   0.900+-0.007   0.624   155.4
   patchcore+aug        screw     1   0.443+-0.036   0.897+-0.008   0.652+-0.007   0.073   147.5
   patchcore+aug        screw     2   0.434+-0.006   0.920+-0.003   0.734+-0.008   0.062   157.0
   patchcore+aug        screw     4   0.506+-0.031   0.934+-0.008   0.757+-0.025   0.104   168.4
   patchcore+aug         tile     1   0.890+-0.008   0.946+-0.003   0.828+-0.003   0.583   142.8
   patchcore+aug         tile     2   0.902+-0.009   0.949+-0.001   0.835+-0.002   0.754   143.1
   patchcore+aug         tile     4   0.922+-0.009   0.948+-0.001   0.833+-0.003   0.762   148.9
   patchcore+aug   toothbrush     1   0.877+-0.035   0.971+-0.004   0.765+-0.035   0.733   129.4
   patchcore+aug   toothbrush     2   0.869+-0.032   0.970+-0.007   0.742+-0.040   0.700   143.8
   patchcore+aug   toothbrush     4   0.950+-0.039   0.982+-0.004   0.817+-0.046   0.822   147.6
   patchcore+aug   transistor     1   0.699+-0.037   0.896+-0.014   0.796+-0.025   0.333   123.1
   patchcore+aug   transistor     2   0.793+-0.042   0.888+-0.036   0.789+-0.057   0.467   119.3
   patchcore+aug   transistor     4   0.831+-0.011   0.902+-0.005   0.827+-0.011   0.492   125.8
   patchcore+aug         wood     1   0.968+-0.011   0.932+-0.006   0.866+-0.007   0.956    81.6
   patchcore+aug         wood     2   0.970+-0.007   0.935+-0.003   0.869+-0.005   0.944    79.3
   patchcore+aug         wood     4   0.974+-0.004   0.939+-0.001   0.870+-0.002   0.989    83.1
   patchcore+aug       zipper     1   0.833+-0.037   0.969+-0.004   0.896+-0.010   0.695    71.1
   patchcore+aug       zipper     2   0.900+-0.013   0.975+-0.001   0.917+-0.005   0.728    72.5
   patchcore+aug       zipper     4   0.933+-0.011   0.978+-0.001   0.925+-0.003   0.913    75.5

Wrote output/task6/augment.json (135 runs)
