Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
    winclip+clip       bottle     1   0.956+-0.003   0.910+-0.001   0.822+-0.003   0.905   170.4
    winclip+clip       bottle     2   0.956+-0.002   0.909+-0.002   0.821+-0.004   0.899   158.8
    winclip+clip       bottle     4   0.962+-0.003   0.912+-0.002   0.825+-0.002   0.910   154.2
    winclip+clip       bottle     8   0.965+-0.002   0.911+-0.000   0.824+-0.000   0.926   153.9
    winclip+clip       bottle    16   0.967+-0.001   0.912+-0.001   0.826+-0.001   0.931   165.3
  patchcore+clip       bottle     1   0.687+-0.107   0.865+-0.041   0.591+-0.105   0.206   190.5
  patchcore+clip       bottle     2   0.821+-0.051   0.942+-0.002   0.791+-0.005   0.656   189.6
  patchcore+clip       bottle     4   0.809+-0.137   0.963+-0.002   0.825+-0.018   0.608   183.2
  patchcore+clip       bottle     8   0.939+-0.019   0.970+-0.001   0.840+-0.002   0.942   182.2
  patchcore+clip       bottle    16   0.969+-0.010   0.974+-0.001   0.861+-0.006   0.952   182.4
    winclip+clip        cable     1   0.698+-0.020   0.786+-0.003   0.613+-0.006   0.286    87.5
    winclip+clip        cable     2   0.697+-0.016   0.791+-0.001   0.616+-0.001   0.250    89.3
    winclip+clip        cable     4   0.702+-0.009   0.792+-0.002   0.616+-0.004   0.322    93.8
    winclip+clip        cable     8   0.720+-0.006   0.794+-0.003   0.620+-0.004   0.330   101.5
    winclip+clip        cable    16   0.719+-0.001   0.795+-0.002   0.624+-0.002   0.326   106.2
  patchcore+clip        cable     1   0.527+-0.031   0.816+-0.026   0.518+-0.050   0.109   136.7
  patchcore+clip        cable     2   0.622+-0.041   0.859+-0.006   0.575+-0.023   0.246   135.4
  patchcore+clip        cable     4   0.636+-0.021   0.898+-0.011   0.667+-0.034   0.174   133.3
  patchcore+clip        cable     8   0.687+-0.055   0.920+-0.004   0.729+-0.003   0.431   132.2
  patchcore+clip        cable    16   0.821+-0.016   0.940+-0.007   0.771+-0.007   0.688   132.1
    winclip+clip      capsule     1   0.653+-0.019   0.855+-0.003   0.738+-0.004   0.330   155.8
    winclip+clip      capsule     2   0.644+-0.011   0.864+-0.002   0.753+-0.004   0.251   160.4
    winclip+clip      capsule     4   0.659+-0.006   0.862+-0.003   0.759+-0.001   0.446   166.3
    winclip+clip      capsule     8   0.679+-0.013   0.864+-0.000   0.760+-0.001   0.333   169.0
    winclip+clip      capsule    16   0.671+-0.004   0.863+-0.001   0.761+-0.001   0.425   177.7
  patchcore+clip      capsule     1   0.501+-0.044   0.667+-0.059   0.264+-0.045   0.174   210.5
  patchcore+clip      capsule     2   0.615+-0.040   0.765+-0.018   0.368+-0.050   0.223   214.7
  patchcore+clip      capsule     4   0.661+-0.044   0.839+-0.019   0.488+-0.037   0.269   214.7
  patchcore+clip      capsule     8   0.718+-0.026   0.904+-0.007   0.650+-0.010   0.324   213.5
  patchcore+clip      capsule    16   0.783+-0.024   0.923+-0.006   0.687+-0.014   0.419   215.7
    winclip+clip       carpet     1   0.974+-0.005   0.974+-0.001   0.930+-0.001   0.985   169.6
    winclip+clip       carpet     2   0.975+-0.000   0.974+-0.001   0.930+-0.003   0.966   172.8
    winclip+clip       carpet     4   0.973+-0.011   0.972+-0.002   0.918+-0.008   0.981   175.6
    winclip+clip       carpet     8   0.980+-0.005   0.974+-0.001   0.925+-0.002   0.970   233.5
    winclip+clip       carpet    16   0.976+-0.005   0.971+-0.001   0.915+-0.005   0.910   276.4
  patchcore+clip       carpet     1   0.908+-0.048   0.984+-0.001   0.888+-0.008   0.581   331.4
  patchcore+clip       carpet     2   0.956+-0.021   0.987+-0.002   0.907+-0.017   0.610   334.8
  patchcore+clip       carpet     4   0.967+-0.021   0.988+-0.001   0.917+-0.008   0.865   326.7
  patchcore+clip       carpet     8   0.958+-0.018   0.988+-0.001   0.915+-0.005   0.888   320.2
  patchcore+clip       carpet    16   0.984+-0.003   0.989+-0.001   0.921+-0.006   0.921   313.1
    winclip+clip         grid     1   0.977+-0.001   0.934+-0.003   0.868+-0.007   0.942   283.4
    winclip+clip         grid     2   0.977+-0.006   0.937+-0.002   0.872+-0.006   0.959   288.5
    winclip+clip         grid     4   0.978+-0.002   0.937+-0.003   0.871+-0.009   0.942   298.5
    winclip+clip         grid     8   0.982+-0.004   0.941+-0.001   0.876+-0.004   0.965   300.7
    winclip+clip         grid    16   0.981+-0.003   0.943+-0.001   0.878+-0.004   0.947   327.1
  patchcore+clip         grid     1   0.578+-0.009   0.768+-0.006   0.471+-0.050   0.263   357.6
  patchcore+clip         grid     2   0.586+-0.075   0.726+-0.019   0.452+-0.026   0.380   357.2
  patchcore+clip         grid     4   0.723+-0.041   0.805+-0.032   0.603+-0.074   0.655   353.0
  patchcore+clip         grid     8   0.725+-0.027   0.833+-0.012   0.657+-0.023   0.485   353.2
  patchcore+clip         grid    16   0.779+-0.035   0.864+-0.005   0.724+-0.008   0.731   354.7

Wrote output/task6/clip_A.json (150 runs)
