Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
    winclip+clip     hazelnut     1   0.907+-0.008   0.968+-0.001   0.794+-0.005   0.738   148.3
    winclip+clip     hazelnut     2   0.903+-0.010   0.966+-0.001   0.777+-0.011   0.733   146.2
    winclip+clip     hazelnut     4   0.914+-0.008   0.969+-0.001   0.791+-0.004   0.795   147.0
    winclip+clip     hazelnut     8   0.929+-0.006   0.971+-0.001   0.797+-0.012   0.733   153.2
    winclip+clip     hazelnut    16   0.933+-0.003   0.970+-0.000   0.793+-0.006   0.810   153.6
  patchcore+clip     hazelnut     1   0.538+-0.034   0.927+-0.016   0.756+-0.027   0.252   174.2
  patchcore+clip     hazelnut     2   0.657+-0.023   0.936+-0.010   0.733+-0.039   0.362   172.4
  patchcore+clip     hazelnut     4   0.685+-0.006   0.956+-0.003   0.807+-0.017   0.286   174.8
  patchcore+clip     hazelnut     8   0.809+-0.038   0.971+-0.002   0.844+-0.011   0.557   176.8
  patchcore+clip     hazelnut    16   0.890+-0.022   0.973+-0.003   0.865+-0.011   0.643   177.8
    winclip+clip      leather     1   1.000+-0.000   0.987+-0.000   0.972+-0.001   1.000   118.0
    winclip+clip      leather     2   1.000+-0.000   0.987+-0.000   0.971+-0.001   1.000   122.2
    winclip+clip      leather     4   1.000+-0.000   0.987+-0.000   0.972+-0.001   1.000   122.5
    winclip+clip      leather     8   1.000+-0.000   0.987+-0.000   0.970+-0.002   1.000   123.2
    winclip+clip      leather    16   1.000+-0.000   0.987+-0.000   0.970+-0.002   1.000   136.1
  patchcore+clip      leather     1   0.891+-0.078   0.989+-0.001   0.966+-0.003   0.848   157.3
  patchcore+clip      leather     2   0.733+-0.083   0.987+-0.002   0.960+-0.006   0.384   155.4
  patchcore+clip      leather     4   0.859+-0.098   0.990+-0.001   0.967+-0.005   0.634   155.5
  patchcore+clip      leather     8   0.937+-0.026   0.991+-0.000   0.970+-0.003   1.000   155.8
  patchcore+clip      leather    16   0.975+-0.009   0.991+-0.001   0.971+-0.001   1.000   160.7
    winclip+clip    metal_nut     1   0.775+-0.002   0.783+-0.002   0.704+-0.002   0.462   133.2
    winclip+clip    metal_nut     2   0.789+-0.009   0.784+-0.003   0.704+-0.005   0.437   142.0
    winclip+clip    metal_nut     4   0.801+-0.005   0.790+-0.002   0.711+-0.005   0.570   151.5
    winclip+clip    metal_nut     8   0.808+-0.006   0.800+-0.001   0.718+-0.003   0.591   156.4
    winclip+clip    metal_nut    16   0.819+-0.010   0.805+-0.001   0.727+-0.001   0.570   170.1
  patchcore+clip    metal_nut     1   0.533+-0.084   0.751+-0.026   0.521+-0.041   0.211   196.6
  patchcore+clip    metal_nut     2   0.638+-0.105   0.815+-0.044   0.608+-0.078   0.229   204.0
  patchcore+clip    metal_nut     4   0.757+-0.073   0.871+-0.015   0.698+-0.040   0.269   203.5
  patchcore+clip    metal_nut     8   0.900+-0.004   0.917+-0.008   0.767+-0.008   0.699   203.9
  patchcore+clip    metal_nut    16   0.975+-0.014   0.940+-0.005   0.834+-0.008   0.896   214.1
    winclip+clip         pill     1   0.732+-0.002   0.762+-0.002   0.786+-0.008   0.527   173.3
    winclip+clip         pill     2   0.719+-0.006   0.759+-0.003   0.783+-0.007   0.492   175.1
    winclip+clip         pill     4   0.723+-0.003   0.763+-0.002   0.786+-0.003   0.556   180.6
    winclip+clip         pill     8   0.719+-0.003   0.766+-0.001   0.785+-0.002   0.478   218.7
    winclip+clip         pill    16   0.719+-0.006   0.764+-0.001   0.787+-0.001   0.579   274.1
  patchcore+clip         pill     1   0.514+-0.030   0.786+-0.054   0.371+-0.138   0.095   327.6
  patchcore+clip         pill     2   0.548+-0.048   0.861+-0.010   0.540+-0.021   0.139   326.7
  patchcore+clip         pill     4   0.609+-0.041   0.913+-0.009   0.693+-0.022   0.151   317.3
  patchcore+clip         pill     8   0.648+-0.036   0.939+-0.002   0.753+-0.008   0.326   311.1
  patchcore+clip         pill    16   0.730+-0.031   0.953+-0.002   0.800+-0.003   0.636   308.5
    winclip+clip        screw     1   0.737+-0.020   0.968+-0.003   0.856+-0.010   0.190   253.5
    winclip+clip        screw     2   0.732+-0.012   0.972+-0.001   0.869+-0.003   0.162   254.4
    winclip+clip        screw     4   0.756+-0.014   0.972+-0.001   0.863+-0.011   0.303   254.5
    winclip+clip        screw     8   0.770+-0.009   0.974+-0.001   0.871+-0.009   0.263   265.1
    winclip+clip        screw    16   0.783+-0.005   0.976+-0.000   0.873+-0.002   0.342   266.2
  patchcore+clip        screw     1   0.492+-0.053   0.653+-0.060   0.343+-0.059   0.090   299.0
  patchcore+clip        screw     2   0.461+-0.031   0.718+-0.055   0.413+-0.032   0.132   308.8
  patchcore+clip        screw     4   0.531+-0.039   0.776+-0.023   0.478+-0.011   0.092   303.3
  patchcore+clip        screw     8   0.599+-0.008   0.752+-0.021   0.443+-0.033   0.146   299.8
  patchcore+clip        screw    16   0.648+-0.054   0.784+-0.019   0.478+-0.019   0.160   305.2

Wrote output/task6/clip_B.json (150 runs)
