          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
    winclip+clip         tile     1   0.988+-0.002   0.938+-0.000   0.833+-0.001   0.929   153.7
    winclip+clip         tile     2   0.992+-0.001   0.939+-0.001   0.834+-0.004   0.952   145.7
    winclip+clip         tile     4   0.991+-0.001   0.938+-0.000   0.831+-0.001   0.976   150.4
    winclip+clip         tile     8   0.992+-0.001   0.938+-0.001   0.830+-0.002   0.968   150.3
    winclip+clip         tile    16   0.991+-0.002   0.937+-0.001   0.827+-0.003   0.909   155.2
  patchcore+clip         tile     1   0.916+-0.067   0.960+-0.002   0.843+-0.010   0.714   177.7
  patchcore+clip         tile     2   0.939+-0.071   0.972+-0.004   0.872+-0.010   0.746   177.3
  patchcore+clip         tile     4   0.926+-0.046   0.970+-0.003   0.872+-0.002   0.651   181.6
  patchcore+clip         tile     8   0.986+-0.006   0.976+-0.001   0.889+-0.005   0.988   181.1
  patchcore+clip         tile    16   0.990+-0.002   0.975+-0.001   0.883+-0.005   0.988   181.7
    winclip+clip   toothbrush     1   0.819+-0.006   0.933+-0.007   0.789+-0.009   0.600   119.9
    winclip+clip   toothbrush     2   0.853+-0.039   0.947+-0.006   0.807+-0.001   0.511   118.1
    winclip+clip   toothbrush     4   0.862+-0.033   0.946+-0.002   0.809+-0.002   0.700   121.5
    winclip+clip   toothbrush     8   0.881+-0.025   0.948+-0.002   0.816+-0.002   0.633   127.1
    winclip+clip   toothbrush    16   0.887+-0.007   0.949+-0.002   0.816+-0.002   0.578   135.8
  patchcore+clip   toothbrush     1   0.706+-0.111   0.911+-0.003   0.420+-0.035   0.400   160.1
  patchcore+clip   toothbrush     2   0.710+-0.027   0.939+-0.009   0.483+-0.073   0.378   158.9
  patchcore+clip   toothbrush     4   0.738+-0.025   0.960+-0.005   0.583+-0.023   0.522   161.3
  patchcore+clip   toothbrush     8   0.745+-0.034   0.970+-0.002   0.644+-0.008   0.600   160.6
  patchcore+clip   toothbrush    16   0.833+-0.021   0.975+-0.001   0.660+-0.015   0.756   160.2
    winclip+clip   transistor     1   0.667+-0.020   0.716+-0.001   0.497+-0.002   0.367   106.5
    winclip+clip   transistor     2   0.688+-0.020   0.715+-0.012   0.500+-0.010   0.450   101.5
    winclip+clip   transistor     4   0.693+-0.008   0.716+-0.006   0.499+-0.004   0.542   100.9
    winclip+clip   transistor     8   0.695+-0.005   0.722+-0.001   0.505+-0.001   0.392   102.1
    winclip+clip   transistor    16   0.702+-0.008   0.727+-0.002   0.509+-0.001   0.442   108.3
  patchcore+clip   transistor     1   0.540+-0.044   0.786+-0.008   0.380+-0.045   0.258   133.4
  patchcore+clip   transistor     2   0.554+-0.078   0.824+-0.032   0.437+-0.004   0.242   134.4
  patchcore+clip   transistor     4   0.553+-0.009   0.881+-0.008   0.560+-0.004   0.275   135.1
  patchcore+clip   transistor     8   0.702+-0.054   0.918+-0.005   0.670+-0.009   0.442   146.9
  patchcore+clip   transistor    16   0.776+-0.016   0.922+-0.004   0.679+-0.008   0.558   149.6
    winclip+clip         wood     1   0.986+-0.001   0.941+-0.001   0.875+-0.002   1.000   141.3
    winclip+clip         wood     2   0.985+-0.001   0.941+-0.000   0.871+-0.002   0.978   146.2
    winclip+clip         wood     4   0.990+-0.002   0.941+-0.000   0.873+-0.001   1.000   150.5
    winclip+clip         wood     8   0.987+-0.001   0.940+-0.000   0.869+-0.001   0.989   155.0
    winclip+clip         wood    16   0.988+-0.002   0.941+-0.000   0.870+-0.001   1.000   159.6
  patchcore+clip         wood     1   0.950+-0.020   0.929+-0.011   0.762+-0.017   0.672   185.5
  patchcore+clip         wood     2   0.957+-0.007   0.940+-0.013   0.761+-0.021   0.683   195.6
  patchcore+clip         wood     4   0.966+-0.009   0.946+-0.004   0.815+-0.010   0.933   201.7
  patchcore+clip         wood     8   0.968+-0.006   0.945+-0.003   0.801+-0.002   0.800   194.1
  patchcore+clip         wood    16   0.977+-0.007   0.948+-0.003   0.810+-0.013   0.972   193.1
    winclip+clip       zipper     1   0.889+-0.027   0.895+-0.006   0.769+-0.010   0.801   190.2
    winclip+clip       zipper     2   0.883+-0.027   0.895+-0.003   0.768+-0.007   0.821   190.2
    winclip+clip       zipper     4   0.908+-0.004   0.901+-0.003   0.778+-0.002   0.866   193.8
    winclip+clip       zipper     8   0.908+-0.004   0.901+-0.002   0.778+-0.003   0.852   195.5
    winclip+clip       zipper    16   0.908+-0.002   0.903+-0.002   0.780+-0.002   0.882   218.6
  patchcore+clip       zipper     1   0.681+-0.028   0.791+-0.035   0.599+-0.024   0.353   307.3
  patchcore+clip       zipper     2   0.639+-0.068   0.839+-0.039   0.639+-0.049   0.143   307.1
  patchcore+clip       zipper     4   0.729+-0.056   0.896+-0.027   0.747+-0.054   0.401   291.9
  patchcore+clip       zipper     8   0.803+-0.040   0.915+-0.021   0.780+-0.038   0.462   278.1
  patchcore+clip       zipper    16   0.861+-0.020   0.938+-0.007   0.826+-0.023   0.669   278.5

Wrote output/task6/clip_C.json (150 runs)
