          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
patchcore+conformal       bottle     1   0.994+-0.000   0.975+-0.002   0.917+-0.004   0.974   225.2
patchcore+conformal       bottle     4   0.996+-0.003   0.981+-0.000   0.931+-0.004   0.947   217.2
patchcore+conformal       bottle    16   0.999+-0.001   0.982+-0.000   0.932+-0.003   1.000   238.9
 padim+conformal       bottle     1   0.969+-0.020   0.959+-0.006   0.898+-0.009   0.937   245.0
 padim+conformal       bottle     4   0.977+-0.013   0.976+-0.001   0.918+-0.006   0.968   242.7
 padim+conformal       bottle    16   0.996+-0.002   0.976+-0.002   0.927+-0.004   0.989   240.9
patchcore+conformal        cable     1   0.820+-0.033   0.916+-0.002   0.717+-0.013   0.475   229.5
patchcore+conformal        cable     4   0.829+-0.031   0.947+-0.006   0.804+-0.013   0.670   238.6
patchcore+conformal        cable    16   0.852+-0.020   0.969+-0.000   0.876+-0.007   0.681   256.6
 padim+conformal        cable     1   0.579+-0.042   0.822+-0.001   0.470+-0.011   0.167   259.4
 padim+conformal        cable     4   0.631+-0.082   0.787+-0.028   0.539+-0.045   0.130   258.2
 padim+conformal        cable    16   0.740+-0.026   0.868+-0.024   0.687+-0.029   0.243   260.0
patchcore+conformal      capsule     1   0.683+-0.026   0.961+-0.008   0.806+-0.030   0.370   170.6
patchcore+conformal      capsule     4   0.824+-0.006   0.978+-0.001   0.874+-0.004   0.612   175.9
patchcore+conformal      capsule    16   0.843+-0.005   0.983+-0.000   0.899+-0.001   0.465   178.8
 padim+conformal      capsule     1   0.650+-0.021   0.951+-0.011   0.779+-0.048   0.315   187.3
 padim+conformal      capsule     4   0.754+-0.025   0.936+-0.015   0.742+-0.040   0.437   189.1
 padim+conformal      capsule    16   0.777+-0.034   0.966+-0.005   0.833+-0.024   0.394   187.9
patchcore+conformal       carpet     1   0.887+-0.017   0.983+-0.001   0.924+-0.002   0.787   166.1
patchcore+conformal       carpet     4   0.943+-0.001   0.987+-0.000   0.935+-0.001   0.865   163.7
patchcore+conformal       carpet    16   0.944+-0.008   0.987+-0.000   0.934+-0.002   0.906   167.4
 padim+conformal       carpet     1   0.811+-0.150   0.953+-0.018   0.854+-0.060   0.700   174.8
 padim+conformal       carpet     4   0.967+-0.039   0.978+-0.004   0.924+-0.022   0.955   173.2
 padim+conformal       carpet    16   0.988+-0.009   0.985+-0.002   0.945+-0.009   0.981   173.5
patchcore+conformal         grid     1   0.500+-0.009   0.650+-0.035   0.283+-0.062   0.058   134.4
patchcore+conformal         grid     4   0.578+-0.048   0.725+-0.038   0.388+-0.063   0.082   131.9
patchcore+conformal         grid    16   0.585+-0.046   0.877+-0.016   0.615+-0.030   0.105   143.6
 padim+conformal         grid     1   0.554+-0.031   0.662+-0.083   0.325+-0.134   0.088   146.6
 padim+conformal         grid     4   0.533+-0.016   0.716+-0.050   0.383+-0.094   0.164   148.5
 padim+conformal         grid    16   0.801+-0.045   0.865+-0.014   0.694+-0.025   0.269   145.7
patchcore+conformal     hazelnut     1   0.884+-0.011   0.937+-0.006   0.856+-0.007   0.514   161.6
patchcore+conformal     hazelnut     4   0.963+-0.026   0.960+-0.006   0.879+-0.010   0.781   151.3
patchcore+conformal     hazelnut    16   0.996+-0.003   0.976+-0.002   0.913+-0.003   0.929   159.2
 padim+conformal     hazelnut     1   0.661+-0.090   0.893+-0.026   0.685+-0.067   0.276   164.0
 padim+conformal     hazelnut     4   0.634+-0.032   0.919+-0.009   0.786+-0.022   0.190   164.2
 padim+conformal     hazelnut    16   0.693+-0.054   0.949+-0.007   0.859+-0.018   0.338   164.2
patchcore+conformal      leather     1   0.963+-0.011   0.991+-0.001   0.968+-0.002   0.938   155.3
patchcore+conformal      leather     4   0.978+-0.003   0.992+-0.000   0.969+-0.002   0.935   150.9
patchcore+conformal      leather    16   0.992+-0.001   0.992+-0.000   0.969+-0.001   0.996   151.4
 padim+conformal      leather     1   0.889+-0.016   0.968+-0.001   0.923+-0.013   0.783   156.3
 padim+conformal      leather     4   0.995+-0.004   0.990+-0.001   0.968+-0.006   0.996   154.0
 padim+conformal      leather    16   0.995+-0.004   0.989+-0.001   0.964+-0.008   1.000   154.6
patchcore+conformal    metal_nut     1   0.664+-0.021   0.885+-0.004   0.645+-0.009   0.211   126.3
patchcore+conformal    metal_nut     4   0.807+-0.073   0.933+-0.021   0.767+-0.065   0.387   115.6
patchcore+conformal    metal_nut    16   0.970+-0.003   0.975+-0.001   0.894+-0.004   0.878   113.3
 padim+conformal    metal_nut     1   0.413+-0.044   0.707+-0.019   0.356+-0.051   0.104   119.1
 padim+conformal    metal_nut     4   0.678+-0.075   0.827+-0.037   0.478+-0.110   0.301   117.9
 padim+conformal    metal_nut    16   0.874+-0.036   0.926+-0.007   0.779+-0.002   0.272   117.7
patchcore+conformal         pill     1   0.728+-0.048   0.940+-0.010   0.861+-0.021   0.473    67.9
patchcore+conformal         pill     4   0.874+-0.017   0.954+-0.005   0.903+-0.008   0.530    66.1
patchcore+conformal         pill    16   0.894+-0.010   0.962+-0.001   0.917+-0.001   0.771    90.1
 padim+conformal         pill     1   0.645+-0.045   0.860+-0.002   0.734+-0.021   0.265    90.9
 padim+conformal         pill     4   0.542+-0.053   0.861+-0.038   0.769+-0.038   0.175    89.7
 padim+conformal         pill    16   0.750+-0.047   0.917+-0.019   0.877+-0.016   0.345    89.4
patchcore+conformal        screw     1   0.438+-0.039   0.887+-0.008   0.637+-0.013   0.053    61.7
patchcore+conformal        screw     4   0.481+-0.019   0.913+-0.003   0.698+-0.007   0.062    68.1
patchcore+conformal        screw    16   0.590+-0.024   0.954+-0.004   0.820+-0.016   0.174    71.4
 padim+conformal        screw     1   0.532+-0.045   0.841+-0.008   0.497+-0.023   0.090    78.7
 padim+conformal        screw     4   0.499+-0.023   0.864+-0.019   0.601+-0.028   0.067    79.9
 padim+conformal        screw    16   0.487+-0.017   0.900+-0.013   0.688+-0.028   0.143    79.6
patchcore+conformal         tile     1   0.856+-0.004   0.941+-0.002   0.817+-0.004   0.333    86.5
patchcore+conformal         tile     4   0.900+-0.012   0.944+-0.002   0.831+-0.006   0.671    85.0
patchcore+conformal         tile    16   0.916+-0.004   0.946+-0.002   0.827+-0.006   0.536    87.2
 padim+conformal         tile     1   0.783+-0.025   0.796+-0.045   0.566+-0.077   0.294    95.6
 padim+conformal         tile     4   0.907+-0.026   0.851+-0.027   0.646+-0.022   0.512    97.3
 padim+conformal         tile    16   0.957+-0.004   0.915+-0.013   0.751+-0.014   0.722    97.2
patchcore+conformal   toothbrush     1   0.900+-0.027   0.971+-0.004   0.761+-0.029   0.711    83.8
patchcore+conformal   toothbrush     4   0.924+-0.032   0.983+-0.004   0.819+-0.040   0.811    86.4
patchcore+conformal   toothbrush    16   0.956+-0.011   0.986+-0.000   0.862+-0.008   0.822    92.2
 padim+conformal   toothbrush     1   0.829+-0.088   0.964+-0.009   0.771+-0.070   0.522   103.4
 padim+conformal   toothbrush     4   0.735+-0.066   0.963+-0.002   0.747+-0.015   0.600   106.2
 padim+conformal   toothbrush    16   0.844+-0.034   0.977+-0.002   0.851+-0.017   0.611   104.9
patchcore+conformal   transistor     1   0.730+-0.033   0.908+-0.008   0.803+-0.001   0.292    86.4
patchcore+conformal   transistor     4   0.830+-0.024   0.916+-0.013   0.841+-0.012   0.383    91.2
