          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
patchcore+contaminated       bottle     4   0.992+-0.002   0.981+-0.001   0.933+-0.003   1.000   140.0
patchcore+contaminated       bottle     8   0.997+-0.004   0.979+-0.001   0.929+-0.008   1.000   140.1
padim+contaminated       bottle     4   0.974+-0.016   0.969+-0.002   0.892+-0.005   0.952   153.2
padim+contaminated       bottle     8   0.994+-0.002   0.972+-0.003   0.921+-0.007   1.000   152.4
patchcore+contaminated        cable     4   0.804+-0.031   0.945+-0.007   0.802+-0.019   0.641   131.0
patchcore+contaminated        cable     8   0.813+-0.008   0.960+-0.001   0.846+-0.017   0.725   129.3
padim+contaminated        cable     4   0.637+-0.046   0.776+-0.037   0.543+-0.057   0.311   143.7
padim+contaminated        cable     8   0.674+-0.030   0.775+-0.003   0.583+-0.020   0.322   141.1
patchcore+contaminated      capsule     4   0.776+-0.022   0.978+-0.002   0.876+-0.006   0.590   134.1
patchcore+contaminated      capsule     8   0.825+-0.014   0.982+-0.000   0.893+-0.006   0.685   155.1
padim+contaminated      capsule     4   0.673+-0.053   0.941+-0.013   0.756+-0.048   0.460   169.5
padim+contaminated      capsule     8   0.765+-0.039   0.960+-0.006   0.825+-0.016   0.367   171.9
patchcore+contaminated       carpet     4   0.887+-0.027   0.982+-0.004   0.921+-0.011   0.746   150.4
patchcore+contaminated       carpet     8   0.898+-0.018   0.981+-0.002   0.926+-0.002   0.818   201.1
padim+contaminated       carpet     4   0.961+-0.034   0.970+-0.005   0.910+-0.017   0.928   238.5
padim+contaminated       carpet     8   0.975+-0.024   0.970+-0.014   0.911+-0.044   0.902   239.6
patchcore+contaminated         grid     4   0.598+-0.048   0.687+-0.029   0.306+-0.008   0.125   271.9
patchcore+contaminated         grid     8   0.522+-0.044   0.784+-0.030   0.418+-0.062   0.185   264.8
padim+contaminated         grid     4   0.527+-0.059   0.705+-0.043   0.363+-0.085   0.125   282.9
padim+contaminated         grid     8   0.612+-0.109   0.796+-0.016   0.564+-0.048   0.190   278.0
patchcore+contaminated     hazelnut     4   0.920+-0.038   0.953+-0.011   0.837+-0.036   0.763   253.3
patchcore+contaminated     hazelnut     8   0.990+-0.007   0.970+-0.002   0.898+-0.008   0.932   260.9
padim+contaminated     hazelnut     4   0.601+-0.051   0.894+-0.010   0.698+-0.013   0.184   277.6
padim+contaminated     hazelnut     8   0.672+-0.028   0.932+-0.010   0.811+-0.023   0.338   281.1
patchcore+contaminated      leather     4   0.946+-0.024   0.992+-0.001   0.965+-0.008   0.846   257.9
patchcore+contaminated      leather     8   0.951+-0.020   0.993+-0.001   0.967+-0.004   0.967   268.3
padim+contaminated      leather     4   0.993+-0.006   0.989+-0.001   0.961+-0.009   0.993   273.8
padim+contaminated      leather     8   0.997+-0.003   0.990+-0.001   0.974+-0.005   0.996   272.2
patchcore+contaminated    metal_nut     4   0.789+-0.114   0.942+-0.021   0.784+-0.072   0.598   202.9
patchcore+contaminated    metal_nut     8   0.907+-0.020   0.911+-0.078   0.846+-0.025   0.761   200.5
padim+contaminated    metal_nut     4   0.715+-0.104   0.842+-0.034   0.520+-0.098   0.478   213.1
padim+contaminated    metal_nut     8   0.758+-0.091   0.856+-0.053   0.667+-0.046   0.446   213.0
patchcore+contaminated         pill     4   0.868+-0.029   0.955+-0.003   0.900+-0.004   0.690   178.7
patchcore+contaminated         pill     8   0.889+-0.013   0.960+-0.003   0.911+-0.002   0.581   184.3
padim+contaminated         pill     4   0.480+-0.045   0.864+-0.025   0.776+-0.021   0.140   190.1
padim+contaminated         pill     8   0.537+-0.035   0.857+-0.052   0.795+-0.049   0.100   189.1
patchcore+contaminated        screw     4   0.495+-0.016   0.914+-0.012   0.698+-0.040   0.082   154.9
patchcore+contaminated        screw     8   0.502+-0.009   0.924+-0.011   0.738+-0.031   0.124   166.4
padim+contaminated        screw     4   0.482+-0.002   0.875+-0.004   0.616+-0.004   0.059   169.8
padim+contaminated        screw     8   0.463+-0.004   0.871+-0.028   0.628+-0.056   0.079   170.8
patchcore+contaminated         tile     4   0.879+-0.025   0.926+-0.015   0.801+-0.024   0.635   152.5
patchcore+contaminated         tile     8   0.879+-0.019   0.939+-0.011   0.820+-0.019   0.743   167.4
padim+contaminated         tile     4   0.918+-0.029   0.835+-0.026   0.625+-0.037   0.735   176.8
padim+contaminated         tile     8   0.952+-0.006   0.901+-0.030   0.738+-0.045   0.863   178.1
patchcore+contaminated   toothbrush     4   0.917+-0.002   0.980+-0.003   0.788+-0.042   0.747   143.8
patchcore+contaminated   toothbrush     8   0.941+-0.016   0.984+-0.001   0.860+-0.006   0.851   146.3
padim+contaminated   toothbrush     4   0.792+-0.046   0.958+-0.005   0.715+-0.052   0.621   159.5
padim+contaminated   toothbrush     8   0.784+-0.004   0.969+-0.002   0.791+-0.016   0.724   158.6
patchcore+contaminated   transistor     4   0.803+-0.012   0.913+-0.019   0.800+-0.048   0.479   164.2
patchcore+contaminated   transistor     8   0.855+-0.009   0.923+-0.001   0.841+-0.021   0.385   163.2
padim+contaminated   transistor     4   0.760+-0.105   0.896+-0.016   0.693+-0.046   0.487   179.5
padim+contaminated   transistor     8   0.821+-0.033   0.928+-0.008   0.796+-0.022   0.564   177.3
patchcore+contaminated         wood     4   0.929+-0.023   0.934+-0.006   0.836+-0.024   0.910   174.9
patchcore+contaminated         wood     8   0.953+-0.014   0.938+-0.004   0.850+-0.014   0.938   177.2
padim+contaminated         wood     4   0.953+-0.023   0.892+-0.008   0.828+-0.006   0.955   187.1
padim+contaminated         wood     8   0.980+-0.005   0.929+-0.013   0.870+-0.020   0.938   180.9
patchcore+contaminated       zipper     4   0.902+-0.026   0.971+-0.005   0.908+-0.012   0.703   141.8
patchcore+contaminated       zipper     8   0.935+-0.009   0.977+-0.004   0.925+-0.007   0.972   146.3
padim+contaminated       zipper     4   0.802+-0.064   0.927+-0.014   0.806+-0.024   0.537   156.4
padim+contaminated       zipper     8   0.871+-0.035   0.970+-0.002   0.901+-0.014   0.867   156.2

Wrote output/task6/contaminated.json (180 runs)
