          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
   patchcore+gap       bottle     4   0.997+-0.002   0.981+-0.000   0.933+-0.002   0.995   144.9
   patchcore+gap       bottle    16   0.998+-0.002   0.981+-0.000   0.934+-0.001   0.979   147.7
       padim+gap       bottle     4   0.996+-0.003   0.976+-0.000   0.923+-0.003   0.989   152.6
       padim+gap       bottle    16   0.990+-0.007   0.977+-0.002   0.929+-0.006   0.989   153.6
   patchcore+gap        cable     4   0.853+-0.021   0.952+-0.002   0.834+-0.023   0.616   134.1
   patchcore+gap        cable    16   0.858+-0.012   0.970+-0.001   0.881+-0.003   0.605   141.1
       padim+gap        cable     4   0.659+-0.013   0.767+-0.017   0.533+-0.049   0.232   149.0
       padim+gap        cable    16   0.681+-0.040   0.874+-0.007   0.698+-0.007   0.301   145.4
   patchcore+gap      capsule     4   0.760+-0.047   0.976+-0.003   0.868+-0.011   0.505   169.0
   patchcore+gap      capsule    16   0.856+-0.010   0.983+-0.001   0.898+-0.004   0.587   174.1
       padim+gap      capsule     4   0.665+-0.022   0.946+-0.007   0.768+-0.023   0.367   179.5
       padim+gap      capsule    16   0.793+-0.024   0.963+-0.010   0.835+-0.036   0.404   180.5
   patchcore+gap       carpet     4   0.935+-0.008   0.986+-0.000   0.933+-0.002   0.903   333.7
   patchcore+gap       carpet    16   0.950+-0.012   0.987+-0.000   0.937+-0.001   0.914   343.0
       padim+gap       carpet     4   0.970+-0.027   0.976+-0.006   0.920+-0.025   0.955   353.2
       padim+gap       carpet    16   0.987+-0.008   0.985+-0.002   0.947+-0.007   0.970   356.9
   patchcore+gap         grid     4   0.591+-0.044   0.714+-0.015   0.390+-0.038   0.117   237.3
   patchcore+gap         grid    16   0.566+-0.033   0.872+-0.007   0.632+-0.011   0.135   250.7
       padim+gap         grid     4   0.588+-0.025   0.710+-0.053   0.384+-0.104   0.135   256.0
       padim+gap         grid    16   0.729+-0.080   0.868+-0.009   0.697+-0.033   0.398   254.9
   patchcore+gap     hazelnut     4   0.955+-0.025   0.960+-0.002   0.893+-0.010   0.905   256.0
   patchcore+gap     hazelnut    16   0.998+-0.001   0.978+-0.002   0.919+-0.003   0.986   260.9
       padim+gap     hazelnut     4   0.668+-0.037   0.927+-0.004   0.798+-0.040   0.357   250.4
       padim+gap     hazelnut    16   0.716+-0.025   0.951+-0.008   0.861+-0.022   0.352   250.6
   patchcore+gap      leather     4   0.977+-0.005   0.992+-0.000   0.968+-0.001   0.978   198.0
   patchcore+gap      leather    16   0.990+-0.003   0.991+-0.000   0.969+-0.000   0.989   198.6
       padim+gap      leather     4   0.993+-0.009   0.990+-0.000   0.968+-0.006   1.000   199.9
       padim+gap      leather    16   0.989+-0.009   0.989+-0.001   0.963+-0.009   0.993   200.3
   patchcore+gap    metal_nut     4   0.877+-0.014   0.956+-0.001   0.818+-0.011   0.674   176.4
   patchcore+gap    metal_nut    16   0.941+-0.013   0.974+-0.001   0.889+-0.001   0.849   181.5
       padim+gap    metal_nut     4   0.798+-0.011   0.871+-0.011   0.597+-0.024   0.509   186.1
       padim+gap    metal_nut    16   0.882+-0.048   0.926+-0.001   0.777+-0.022   0.681   185.5
   patchcore+gap         pill     4   0.837+-0.016   0.953+-0.003   0.897+-0.002   0.700   161.6
   patchcore+gap         pill    16   0.913+-0.003   0.964+-0.000   0.920+-0.002   0.754   172.8
       padim+gap         pill     4   0.511+-0.011   0.851+-0.027   0.766+-0.022   0.243   173.6
       padim+gap         pill    16   0.758+-0.042   0.921+-0.017   0.880+-0.015   0.584   172.9
   patchcore+gap        screw     4   0.480+-0.009   0.915+-0.008   0.717+-0.015   0.148   166.4
   patchcore+gap        screw    16   0.578+-0.032   0.945+-0.009   0.794+-0.029   0.204   170.4
       padim+gap        screw     4   0.472+-0.018   0.876+-0.004   0.627+-0.018   0.056   177.2
       padim+gap        screw    16   0.502+-0.017   0.880+-0.028   0.643+-0.054   0.202   177.7
   patchcore+gap         tile     4   0.893+-0.028   0.943+-0.005   0.825+-0.008   0.734   163.1
   patchcore+gap         tile    16   0.911+-0.003   0.947+-0.001   0.830+-0.002   0.794   170.9
       padim+gap         tile     4   0.889+-0.030   0.855+-0.024   0.651+-0.030   0.754   176.2
       padim+gap         tile    16   0.962+-0.018   0.917+-0.015   0.759+-0.018   0.869   179.5
   patchcore+gap   toothbrush     4   0.912+-0.010   0.973+-0.003   0.783+-0.011   0.889   188.8
   patchcore+gap   toothbrush    16   0.915+-0.021   0.974+-0.001   0.771+-0.021   1.000   202.8
       padim+gap   toothbrush     4   0.733+-0.036   0.958+-0.007   0.750+-0.055   0.578   200.0
       padim+gap   toothbrush    16   0.832+-0.023   0.967+-0.001   0.804+-0.018   0.789   198.5
   patchcore+gap   transistor     4   0.836+-0.010   0.935+-0.013   0.878+-0.023   0.483   130.9
   patchcore+gap   transistor    16   0.887+-0.014   0.953+-0.002   0.910+-0.004   0.525   142.2
       padim+gap   transistor     4   0.795+-0.029   0.878+-0.031   0.716+-0.046   0.467   149.0
       padim+gap   transistor    16   0.912+-0.005   0.952+-0.006   0.867+-0.011   0.708   153.7
   patchcore+gap         wood     4   0.970+-0.002   0.935+-0.001   0.870+-0.003   0.967   123.0
   patchcore+gap         wood    16   0.970+-0.002   0.938+-0.001   0.868+-0.003   0.961   117.5
       padim+gap         wood     4   0.955+-0.012   0.901+-0.006   0.838+-0.007   0.933   125.4
       padim+gap         wood    16   0.977+-0.008   0.933+-0.005   0.877+-0.019   0.994   127.1
   patchcore+gap       zipper     4   0.895+-0.035   0.974+-0.002   0.909+-0.008   0.739   112.1
   patchcore+gap       zipper    16   0.946+-0.011   0.980+-0.001   0.932+-0.004   0.983   107.8
       padim+gap       zipper     4   0.823+-0.051   0.956+-0.005   0.858+-0.019   0.602   112.3
       padim+gap       zipper    16   0.909+-0.015   0.973+-0.003   0.910+-0.011   0.852   110.5

Wrote output/task6/gap.json (180 runs)
