Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
    winclip+clip       candle     1   0.781+-0.017   0.921+-0.002   0.873+-0.003   0.513   171.0
    winclip+clip       candle     4   0.791+-0.004   0.923+-0.001   0.877+-0.001   0.577   175.1
    winclip+clip       candle    16   0.794+-0.004   0.924+-0.001   0.877+-0.000   0.540   191.7
    winclip+clip     capsules     1   0.763+-0.005   0.840+-0.003   0.479+-0.004   0.433   185.7
    winclip+clip     capsules     4   0.765+-0.004   0.843+-0.004   0.476+-0.002   0.607   182.5
    winclip+clip     capsules    16   0.772+-0.006   0.850+-0.001   0.483+-0.003   0.473   236.7
    winclip+clip       cashew     1   0.754+-0.023   0.793+-0.003   0.709+-0.026   0.540   298.9
    winclip+clip       cashew     4   0.749+-0.011   0.796+-0.002   0.709+-0.008   0.547   308.9
    winclip+clip       cashew    16   0.738+-0.010   0.796+-0.002   0.695+-0.012   0.597   329.1
    winclip+clip   chewinggum     1   0.944+-0.003   0.981+-0.000   0.811+-0.000   0.883   218.7
    winclip+clip   chewinggum     4   0.940+-0.002   0.981+-0.000   0.811+-0.001   0.903   250.0
    winclip+clip   chewinggum    16   0.944+-0.001   0.981+-0.000   0.812+-0.001   0.897   278.4
    winclip+clip        fryum     1   0.884+-0.005   0.810+-0.005   0.667+-0.002   0.670   257.4
    winclip+clip        fryum     4   0.893+-0.004   0.815+-0.001   0.670+-0.002   0.797   280.1
    winclip+clip        fryum    16   0.900+-0.002   0.807+-0.001   0.665+-0.001   0.773   289.7
    winclip+clip    macaroni1     1   0.807+-0.001   0.960+-0.001   0.793+-0.004   0.593   185.7
    winclip+clip    macaroni1     4   0.818+-0.016   0.961+-0.001   0.804+-0.001   0.690   198.8
    winclip+clip    macaroni1    16   0.830+-0.012   0.963+-0.001   0.813+-0.001   0.640   204.2
    winclip+clip    macaroni2     1   0.486+-0.016   0.903+-0.003   0.541+-0.006   0.270   177.2
    winclip+clip    macaroni2     4   0.517+-0.015   0.905+-0.002   0.552+-0.006   0.273   189.2
    winclip+clip    macaroni2    16   0.535+-0.002   0.902+-0.002   0.546+-0.006   0.173   201.2
    winclip+clip         pcb1     1   0.691+-0.072   0.899+-0.009   0.562+-0.043   0.480   169.6
    winclip+clip         pcb1     4   0.712+-0.011   0.904+-0.003   0.541+-0.013   0.420   178.2
    winclip+clip         pcb1    16   0.753+-0.010   0.904+-0.001   0.555+-0.003   0.497   181.3
    winclip+clip         pcb2     1   0.737+-0.012   0.789+-0.001   0.472+-0.001   0.440   182.1
    winclip+clip         pcb2     4   0.753+-0.009   0.803+-0.001   0.475+-0.001   0.490   189.2
    winclip+clip         pcb2    16   0.761+-0.006   0.807+-0.000   0.477+-0.001   0.303   195.1
    winclip+clip         pcb3     1   0.719+-0.022   0.875+-0.002   0.625+-0.002   0.410   163.7
    winclip+clip         pcb3     4   0.763+-0.013   0.882+-0.001   0.635+-0.005   0.603   164.4
    winclip+clip         pcb3    16   0.778+-0.005   0.883+-0.001   0.635+-0.002   0.493   184.5
    winclip+clip         pcb4     1   0.936+-0.007   0.905+-0.002   0.729+-0.008   0.883   185.2
    winclip+clip         pcb4     4   0.946+-0.003   0.911+-0.000   0.738+-0.002   0.857   188.8
    winclip+clip         pcb4    16   0.951+-0.002   0.915+-0.000   0.745+-0.001   0.903   186.8
    winclip+clip   pipe_fryum     1   0.842+-0.007   0.897+-0.003   0.904+-0.000   0.607   120.5
    winclip+clip   pipe_fryum     4   0.848+-0.010   0.897+-0.002   0.905+-0.002   0.723   119.8
    winclip+clip   pipe_fryum    16   0.843+-0.004   0.899+-0.001   0.905+-0.001   0.637   132.9

Wrote output/task6/visa_clip.json (108 runs)
