          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
       patchcore       candle     1   0.699+-0.090   0.966+-0.006   0.887+-0.014   0.287   347.7
       patchcore       candle     4   0.801+-0.039   0.982+-0.001   0.933+-0.002   0.593   361.5
       patchcore       candle    16   0.852+-0.024   0.987+-0.001   0.945+-0.002   0.707   353.5
           padim       candle     1   0.773+-0.040   0.910+-0.033   0.768+-0.105   0.463   360.1
           padim       candle     4   0.862+-0.034   0.947+-0.005   0.883+-0.020   0.630   366.0
           padim       candle    16   0.891+-0.027   0.971+-0.001   0.927+-0.010   0.740   362.8
       patchcore     capsules     1   0.562+-0.001   0.852+-0.012   0.383+-0.017   0.237   205.5
       patchcore     capsules     4   0.568+-0.024   0.894+-0.003   0.454+-0.014   0.227   221.8
       patchcore     capsules    16   0.573+-0.020   0.924+-0.003   0.489+-0.025   0.253   223.5
           padim     capsules     1   0.491+-0.036   0.656+-0.028   0.204+-0.005   0.143   226.7
           padim     capsules     4   0.584+-0.013   0.732+-0.020   0.297+-0.040   0.253   228.6
           padim     capsules    16   0.598+-0.021   0.819+-0.009   0.379+-0.059   0.287   230.1
       patchcore       cashew     1   0.774+-0.056   0.965+-0.004   0.811+-0.018   0.497   161.6
       patchcore       cashew     4   0.811+-0.008   0.974+-0.002   0.844+-0.007   0.523   169.0
       patchcore       cashew    16   0.835+-0.010   0.977+-0.001   0.840+-0.010   0.580   176.0
           padim       cashew     1   0.513+-0.014   0.908+-0.045   0.617+-0.040   0.280   182.8
           padim       cashew     4   0.777+-0.061   0.934+-0.001   0.667+-0.072   0.397   179.7
           padim       cashew    16   0.840+-0.050   0.947+-0.005   0.692+-0.035   0.470   179.4
       patchcore   chewinggum     1   0.826+-0.011   0.970+-0.001   0.662+-0.012   0.663   160.4
       patchcore   chewinggum     4   0.847+-0.011   0.973+-0.002   0.687+-0.006   0.703   165.7
       patchcore   chewinggum    16   0.870+-0.009   0.974+-0.001   0.703+-0.006   0.687   158.1
           padim   chewinggum     1   0.614+-0.013   0.877+-0.012   0.464+-0.031   0.187   164.0
           padim   chewinggum     4   0.862+-0.063   0.959+-0.001   0.685+-0.022   0.630   163.8
           padim   chewinggum    16   0.945+-0.006   0.969+-0.006   0.743+-0.022   0.883   161.9
       patchcore        fryum     1   0.750+-0.046   0.855+-0.010   0.556+-0.014   0.557   165.9
       patchcore        fryum     4   0.869+-0.009   0.892+-0.004   0.678+-0.013   0.680   165.6
       patchcore        fryum    16   0.883+-0.013   0.897+-0.002   0.709+-0.013   0.783   173.1
           padim        fryum     1   0.607+-0.118   0.859+-0.013   0.477+-0.012   0.277   171.5
           padim        fryum     4   0.679+-0.064   0.832+-0.010   0.425+-0.038   0.387   171.9
           padim        fryum    16   0.746+-0.035   0.848+-0.025   0.481+-0.023   0.397   171.8
       patchcore    macaroni1     1   0.519+-0.020   0.923+-0.011   0.638+-0.039   0.187   128.8
       patchcore    macaroni1     4   0.617+-0.023   0.961+-0.004   0.772+-0.014   0.403   124.3
       patchcore    macaroni1    16   0.697+-0.009   0.979+-0.001   0.864+-0.006   0.410   124.5
           padim    macaroni1     1   0.534+-0.034   0.835+-0.015   0.336+-0.031   0.207   127.6
           padim    macaroni1     4   0.642+-0.034   0.838+-0.007   0.499+-0.067   0.423   125.7
           padim    macaroni1    16   0.755+-0.041   0.942+-0.001   0.744+-0.014   0.260   124.8
       patchcore    macaroni2     1   0.599+-0.019   0.858+-0.004   0.560+-0.032   0.263    67.0
       patchcore    macaroni2     4   0.616+-0.011   0.886+-0.011   0.618+-0.012   0.213    80.6
       patchcore    macaroni2    16   0.649+-0.026   0.904+-0.003   0.744+-0.016   0.213    85.2
           padim    macaroni2     1   0.522+-0.049   0.769+-0.018   0.299+-0.031   0.073    88.6
           padim    macaroni2     4   0.556+-0.044   0.803+-0.032   0.372+-0.054   0.117    88.0
