Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
  winclip+visual       bottle     1   0.996+-0.002   0.978+-0.001   0.922+-0.005   0.995   387.9
  winclip+visual       bottle     4   0.996+-0.003   0.981+-0.001   0.930+-0.001   0.984   383.2
  winclip+visual       bottle    16   0.999+-0.001   0.982+-0.000   0.934+-0.001   1.000   402.8
  winclip+visual        cable     1   0.890+-0.010   0.916+-0.001   0.851+-0.007   0.801   272.1
  winclip+visual        cable     4   0.907+-0.010   0.930+-0.004   0.867+-0.009   0.775   289.0
  winclip+visual        cable    16   0.944+-0.002   0.944+-0.002   0.892+-0.001   0.895   302.3
  winclip+visual      capsule     1   0.721+-0.074   0.916+-0.005   0.805+-0.011   0.235   233.9
  winclip+visual      capsule     4   0.898+-0.001   0.940+-0.004   0.867+-0.006   0.728   237.3
  winclip+visual      capsule    16   0.938+-0.019   0.947+-0.001   0.885+-0.001   0.942   275.9
  winclip+visual       carpet     1   1.000+-0.000   0.994+-0.000   0.977+-0.001   1.000   273.1
  winclip+visual       carpet     4   0.998+-0.003   0.993+-0.000   0.965+-0.007   1.000   287.1
  winclip+visual       carpet    16   0.999+-0.001   0.993+-0.000   0.963+-0.004   1.000   290.9
  winclip+visual         grid     1   0.977+-0.001   0.959+-0.003   0.907+-0.006   0.965   232.7
  winclip+visual         grid     4   0.985+-0.002   0.969+-0.005   0.923+-0.009   0.959   243.1
  winclip+visual         grid    16   0.988+-0.003   0.980+-0.001   0.940+-0.003   0.982   252.0
  winclip+visual     hazelnut     1   0.984+-0.008   0.984+-0.001   0.936+-0.007   0.952   205.3
  winclip+visual     hazelnut     4   0.994+-0.007   0.987+-0.000   0.938+-0.003   0.990   192.5
  winclip+visual     hazelnut    16   1.000+-0.000   0.989+-0.001   0.948+-0.002   1.000   197.4
  winclip+visual      leather     1   1.000+-0.000   0.994+-0.000   0.983+-0.005   1.000   169.4
  winclip+visual      leather     4   1.000+-0.000   0.995+-0.000   0.983+-0.003   1.000   180.8
  winclip+visual      leather    16   1.000+-0.000   0.994+-0.000   0.972+-0.007   1.000   189.9
  winclip+visual    metal_nut     1   0.983+-0.011   0.857+-0.005   0.849+-0.005   0.914   169.6
  winclip+visual    metal_nut     4   0.998+-0.002   0.885+-0.006   0.875+-0.008   1.000   172.8
  winclip+visual    metal_nut    16   1.000+-0.000   0.919+-0.002   0.907+-0.001   1.000   191.1
  winclip+visual         pill     1   0.944+-0.006   0.933+-0.002   0.926+-0.010   0.849   171.2
  winclip+visual         pill     4   0.956+-0.004   0.939+-0.002   0.937+-0.002   0.901   184.6
  winclip+visual         pill    16   0.945+-0.004   0.945+-0.001   0.939+-0.001   0.915   196.3
  winclip+visual        screw     1   0.570+-0.008   0.920+-0.009   0.718+-0.020   0.137   126.5
  winclip+visual        screw     4   0.675+-0.037   0.942+-0.005   0.779+-0.019   0.249   147.4
  winclip+visual        screw    16   0.800+-0.007   0.969+-0.003   0.857+-0.013   0.625   169.1
  winclip+visual         tile     1   0.986+-0.005   0.967+-0.000   0.891+-0.003   0.948   146.1
  winclip+visual         tile     4   0.992+-0.002   0.970+-0.001   0.891+-0.002   0.988   156.0
  winclip+visual         tile    16   0.991+-0.003   0.971+-0.001   0.883+-0.006   0.984   167.4
  winclip+visual   toothbrush     1   0.974+-0.008   0.981+-0.003   0.870+-0.024   0.944   155.7
  winclip+visual   toothbrush     4   0.990+-0.009   0.986+-0.002   0.895+-0.018   0.989   156.2
  winclip+visual   toothbrush    16   0.998+-0.001   0.988+-0.000   0.909+-0.003   1.000   183.7
  winclip+visual   transistor     1   0.744+-0.025   0.872+-0.002   0.695+-0.004   0.608   154.2
  winclip+visual   transistor     4   0.802+-0.022   0.876+-0.014   0.704+-0.021   0.592   163.1
  winclip+visual   transistor    16   0.849+-0.021   0.908+-0.004   0.764+-0.008   0.658   175.9
  winclip+visual         wood     1   0.980+-0.003   0.966+-0.001   0.920+-0.003   0.983   145.8
  winclip+visual         wood     4   0.980+-0.010   0.968+-0.001   0.909+-0.006   0.994   159.0
  winclip+visual         wood    16   0.982+-0.009   0.969+-0.001   0.906+-0.006   1.000   187.9
  winclip+visual       zipper     1   0.858+-0.111   0.870+-0.017   0.754+-0.033   0.692   172.4
  winclip+visual       zipper     4   0.978+-0.007   0.898+-0.005   0.795+-0.012   0.899   172.6
  winclip+visual       zipper    16   0.982+-0.003   0.906+-0.004   0.807+-0.008   0.972   182.7

Wrote output/task6/visual.json (135 runs)
