          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
       patchcore       bottle     1   0.994+-0.000   0.975+-0.002   0.917+-0.004   0.995    73.5
       patchcore       bottle     2   0.998+-0.003   0.979+-0.001   0.928+-0.006   1.000    68.8
       patchcore       bottle     4   0.996+-0.003   0.981+-0.000   0.931+-0.004   1.000    69.1
       patchcore       bottle     8   0.999+-0.001   0.981+-0.000   0.930+-0.004   1.000    71.1
       patchcore       bottle    16   0.999+-0.001   0.982+-0.000   0.932+-0.003   1.000    73.0
           padim       bottle     1   0.969+-0.020   0.959+-0.006   0.898+-0.009   0.952    78.5
           padim       bottle     2   0.985+-0.008   0.960+-0.007   0.891+-0.015   0.984    79.2
           padim       bottle     4   0.977+-0.013   0.976+-0.001   0.918+-0.006   0.968    79.0
           padim       bottle     8   0.992+-0.002   0.976+-0.001   0.926+-0.006   1.000    78.6
           padim       bottle    16   0.996+-0.002   0.976+-0.002   0.927+-0.004   1.000    78.8
       patchcore        cable     1   0.820+-0.033   0.916+-0.002   0.717+-0.013   0.500    58.2
       patchcore        cable     2   0.852+-0.017   0.943+-0.005   0.797+-0.021   0.583    58.7
       patchcore        cable     4   0.829+-0.031   0.947+-0.006   0.804+-0.013   0.721    62.0
       patchcore        cable     8   0.851+-0.010   0.962+-0.002   0.856+-0.004   0.696    62.9
       patchcore        cable    16   0.852+-0.020   0.969+-0.000   0.876+-0.007   0.736    66.9
           padim        cable     1   0.579+-0.042   0.822+-0.001   0.470+-0.011   0.192    75.9
           padim        cable     2   0.665+-0.050   0.614+-0.036   0.377+-0.015   0.083    74.5
           padim        cable     4   0.631+-0.082   0.787+-0.028   0.539+-0.045   0.293    75.5
           padim        cable     8   0.694+-0.027   0.792+-0.009   0.588+-0.024   0.384    75.4
           padim        cable    16   0.740+-0.026   0.868+-0.024   0.687+-0.029   0.322    75.7
       patchcore      capsule     1   0.683+-0.026   0.961+-0.008   0.806+-0.030   0.443    69.8
       patchcore      capsule     2   0.730+-0.007   0.972+-0.001   0.848+-0.002   0.477    73.1
       patchcore      capsule     4   0.824+-0.006   0.978+-0.001   0.874+-0.004   0.771    87.9
       patchcore      capsule     8   0.838+-0.013   0.982+-0.001   0.894+-0.004   0.679    96.1
       patchcore      capsule    16   0.843+-0.005   0.983+-0.000   0.899+-0.001   0.817   104.1
           padim      capsule     1   0.650+-0.021   0.951+-0.011   0.779+-0.048   0.352   108.2
           padim      capsule     2   0.737+-0.038   0.922+-0.018   0.719+-0.050   0.446   106.5
           padim      capsule     4   0.754+-0.025   0.936+-0.015   0.742+-0.040   0.667   106.0
           padim      capsule     8   0.782+-0.033   0.961+-0.014   0.840+-0.044   0.505   107.2
           padim      capsule    16   0.777+-0.034   0.966+-0.005   0.833+-0.024   0.630   108.1
       patchcore       carpet     1   0.887+-0.017   0.983+-0.001   0.924+-0.002   0.858    98.7
       patchcore       carpet     2   0.932+-0.007   0.985+-0.001   0.932+-0.003   0.903   101.3
       patchcore       carpet     4   0.943+-0.001   0.987+-0.000   0.935+-0.001   0.910   104.7
       patchcore       carpet     8   0.936+-0.003   0.987+-0.000   0.934+-0.003   0.873   104.9
       patchcore       carpet    16   0.944+-0.008   0.987+-0.000   0.934+-0.002   0.910   108.1
           padim       carpet     1   0.811+-0.150   0.953+-0.018   0.854+-0.060   0.757   117.6
           padim       carpet     2   0.861+-0.083   0.958+-0.014   0.870+-0.039   0.831   116.9
           padim       carpet     4   0.967+-0.039   0.978+-0.004   0.924+-0.022   0.959   117.3
           padim       carpet     8   0.977+-0.028   0.976+-0.009   0.922+-0.038   0.869   116.3
           padim       carpet    16   0.988+-0.009   0.985+-0.002   0.945+-0.009   0.989   116.1
       patchcore         grid     1   0.500+-0.009   0.650+-0.035   0.283+-0.062   0.117    81.1
       patchcore         grid     2   0.535+-0.081   0.666+-0.031   0.298+-0.056   0.105    91.0
       patchcore         grid     4   0.578+-0.048   0.725+-0.038   0.388+-0.063   0.111   110.3
       patchcore         grid     8   0.514+-0.047   0.797+-0.013   0.485+-0.013   0.304   120.4
       patchcore         grid    16   0.585+-0.046   0.877+-0.016   0.615+-0.030   0.164   125.7
           padim         grid     1   0.554+-0.031   0.662+-0.083   0.325+-0.134   0.099   133.9
           padim         grid     2   0.473+-0.084   0.555+-0.034   0.186+-0.033   0.105   138.9
           padim         grid     4   0.533+-0.016   0.716+-0.050   0.383+-0.094   0.193   134.8
           padim         grid     8   0.688+-0.060   0.802+-0.036   0.589+-0.040   0.251   134.3
           padim         grid    16   0.801+-0.045   0.865+-0.014   0.694+-0.025   0.333   133.9

Wrote output/task6/wrn_A.json (150 runs)
