          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
       patchcore     hazelnut     1   0.884+-0.011   0.937+-0.006   0.856+-0.007   0.657    78.9
       patchcore     hazelnut     2   0.954+-0.019   0.942+-0.008   0.850+-0.011   0.886    71.6
       patchcore     hazelnut     4   0.963+-0.026   0.960+-0.006   0.879+-0.010   0.867    73.5
       patchcore     hazelnut     8   0.997+-0.003   0.975+-0.001   0.907+-0.003   0.990    73.6
       patchcore     hazelnut    16   0.996+-0.003   0.976+-0.002   0.913+-0.003   0.943    72.9
           padim     hazelnut     1   0.661+-0.090   0.893+-0.026   0.685+-0.067   0.310    77.0
           padim     hazelnut     2   0.543+-0.067   0.857+-0.013   0.582+-0.010   0.229    77.2
           padim     hazelnut     4   0.634+-0.032   0.919+-0.009   0.786+-0.022   0.224    78.0
           padim     hazelnut     8   0.679+-0.025   0.939+-0.011   0.828+-0.026   0.262    78.2
           padim     hazelnut    16   0.693+-0.054   0.949+-0.007   0.859+-0.018   0.424    78.8
       patchcore      leather     1   0.963+-0.011   0.991+-0.001   0.968+-0.002   0.957    63.5
       patchcore      leather     2   0.969+-0.003   0.991+-0.000   0.967+-0.000   0.978    63.8
       patchcore      leather     4   0.978+-0.003   0.992+-0.000   0.969+-0.002   0.975    70.6
       patchcore      leather     8   0.987+-0.001   0.992+-0.000   0.969+-0.001   0.986    69.1
       patchcore      leather    16   0.992+-0.001   0.992+-0.000   0.969+-0.001   0.996    72.4
           padim      leather     1   0.889+-0.016   0.968+-0.001   0.923+-0.013   0.862    79.9
           padim      leather     2   0.977+-0.003   0.986+-0.002   0.951+-0.002   0.975    79.3
           padim      leather     4   0.995+-0.004   0.990+-0.001   0.968+-0.006   1.000    79.1
           padim      leather     8   0.999+-0.001   0.990+-0.001   0.977+-0.004   1.000    79.4
           padim      leather    16   0.995+-0.004   0.989+-0.001   0.964+-0.008   1.000    79.3
       patchcore    metal_nut     1   0.664+-0.021   0.885+-0.004   0.645+-0.009   0.319    60.5
       patchcore    metal_nut     2   0.702+-0.104   0.902+-0.020   0.681+-0.050   0.308    71.7
       patchcore    metal_nut     4   0.807+-0.073   0.933+-0.021   0.767+-0.065   0.405    90.1
       patchcore    metal_nut     8   0.895+-0.036   0.963+-0.006   0.845+-0.033   0.742    96.9
       patchcore    metal_nut    16   0.970+-0.003   0.975+-0.001   0.894+-0.004   0.889   109.6
           padim    metal_nut     1   0.413+-0.044   0.707+-0.019   0.356+-0.051   0.125   109.6
           padim    metal_nut     2   0.579+-0.130   0.750+-0.038   0.370+-0.089   0.251   109.1
           padim    metal_nut     4   0.678+-0.075   0.827+-0.037   0.478+-0.110   0.394   106.8
           padim    metal_nut     8   0.812+-0.059   0.883+-0.027   0.665+-0.073   0.613   106.8
           padim    metal_nut    16   0.874+-0.036   0.926+-0.007   0.779+-0.002   0.394   107.2
       patchcore         pill     1   0.728+-0.048   0.940+-0.010   0.861+-0.021   0.532    91.2
       patchcore         pill     2   0.797+-0.027   0.943+-0.002   0.880+-0.006   0.518    94.6
       patchcore         pill     4   0.874+-0.017   0.954+-0.005   0.903+-0.008   0.610    97.2
       patchcore         pill     8   0.895+-0.009   0.960+-0.001   0.911+-0.004   0.567   100.7
       patchcore         pill    16   0.894+-0.010   0.962+-0.001   0.917+-0.001   0.820   101.0
           padim         pill     1   0.645+-0.045   0.860+-0.002   0.734+-0.021   0.385   109.8
           padim         pill     2   0.545+-0.066   0.774+-0.044   0.619+-0.057   0.118   109.9
           padim         pill     4   0.542+-0.053   0.861+-0.038   0.769+-0.038   0.258   108.5
           padim         pill     8   0.637+-0.035   0.858+-0.052   0.798+-0.049   0.180   109.3
           padim         pill    16   0.750+-0.047   0.917+-0.019   0.877+-0.016   0.515   113.6
       patchcore        screw     1   0.438+-0.039   0.887+-0.008   0.637+-0.013   0.087   135.0
       patchcore        screw     2   0.424+-0.020   0.907+-0.003   0.696+-0.006   0.059   137.5
       patchcore        screw     4   0.481+-0.019   0.913+-0.003   0.698+-0.007   0.112   140.8
       patchcore        screw     8   0.546+-0.051   0.935+-0.005   0.775+-0.011   0.126   137.6
       patchcore        screw    16   0.590+-0.024   0.954+-0.004   0.820+-0.016   0.277   153.2
           padim        screw     1   0.532+-0.045   0.841+-0.008   0.497+-0.023   0.202   155.9
           padim        screw     2   0.491+-0.005   0.784+-0.009   0.475+-0.010   0.112   159.0
           padim        screw     4   0.499+-0.023   0.864+-0.019   0.601+-0.028   0.084   157.6
           padim        screw     8   0.490+-0.017   0.883+-0.015   0.647+-0.031   0.126   158.7
           padim        screw    16   0.487+-0.017   0.900+-0.013   0.688+-0.028   0.185   156.7

Wrote output/task6/wrn_B.json (150 runs)
