          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
       patchcore         tile     1   0.856+-0.004   0.941+-0.002   0.817+-0.004   0.544    75.1
       patchcore         tile     2   0.874+-0.012   0.946+-0.002   0.829+-0.004   0.675    71.2
       patchcore         tile     4   0.900+-0.012   0.944+-0.002   0.831+-0.006   0.758    72.0
       patchcore         tile     8   0.910+-0.010   0.946+-0.002   0.829+-0.006   0.667    72.8
       patchcore         tile    16   0.916+-0.004   0.946+-0.002   0.827+-0.006   0.635    72.3
           padim         tile     1   0.783+-0.025   0.796+-0.045   0.566+-0.077   0.381    78.1
           padim         tile     2   0.823+-0.094   0.802+-0.042   0.571+-0.082   0.528    78.7
           padim         tile     4   0.907+-0.026   0.851+-0.027   0.646+-0.022   0.762    79.5
           padim         tile     8   0.963+-0.009   0.911+-0.029   0.753+-0.041   0.905    80.0
           padim         tile    16   0.957+-0.004   0.915+-0.013   0.751+-0.014   0.837    80.7
       patchcore   toothbrush     1   0.900+-0.027   0.971+-0.004   0.761+-0.029   0.722    57.9
       patchcore   toothbrush     2   0.853+-0.034   0.972+-0.006   0.745+-0.037   0.678    58.0
       patchcore   toothbrush     4   0.924+-0.032   0.983+-0.004   0.819+-0.040   0.856    58.8
       patchcore   toothbrush     8   0.942+-0.020   0.982+-0.004   0.840+-0.024   0.856    60.1
       patchcore   toothbrush    16   0.956+-0.011   0.986+-0.000   0.862+-0.008   0.833    64.8
           padim   toothbrush     1   0.829+-0.088   0.964+-0.009   0.771+-0.070   0.567    70.4
           padim   toothbrush     2   0.718+-0.055   0.945+-0.005   0.699+-0.027   0.511    72.3
           padim   toothbrush     4   0.735+-0.066   0.963+-0.002   0.747+-0.015   0.633    71.7
           padim   toothbrush     8   0.798+-0.037   0.968+-0.006   0.780+-0.014   0.556    71.1
           padim   toothbrush    16   0.844+-0.034   0.977+-0.002   0.851+-0.017   0.700    70.8
       patchcore   transistor     1   0.730+-0.033   0.908+-0.008   0.803+-0.001   0.333    74.0
       patchcore   transistor     2   0.784+-0.045   0.899+-0.026   0.788+-0.053   0.467    72.2
       patchcore   transistor     4   0.830+-0.024   0.916+-0.013   0.841+-0.012   0.517    74.1
       patchcore   transistor     8   0.854+-0.024   0.940+-0.001   0.882+-0.004   0.483    74.6
       patchcore   transistor    16   0.881+-0.013   0.949+-0.005   0.904+-0.006   0.642    77.2
           padim   transistor     1   0.711+-0.055   0.887+-0.010   0.656+-0.018   0.317    85.2
           padim   transistor     2   0.783+-0.046   0.895+-0.028   0.698+-0.053   0.425    85.5
           padim   transistor     4   0.791+-0.040   0.897+-0.022   0.739+-0.038   0.517    85.5
           padim   transistor     8   0.821+-0.054   0.932+-0.011   0.811+-0.016   0.675    85.4
           padim   transistor    16   0.882+-0.024   0.947+-0.006   0.850+-0.031   0.683    85.3
       patchcore         wood     1   0.958+-0.014   0.926+-0.008   0.860+-0.009   0.967   152.4
       patchcore         wood     2   0.959+-0.002   0.929+-0.003   0.864+-0.003   0.917   138.6
       patchcore         wood     4   0.963+-0.011   0.934+-0.001   0.865+-0.003   0.978   136.0
       patchcore         wood     8   0.970+-0.006   0.936+-0.002   0.869+-0.002   0.939   140.9
       patchcore         wood    16   0.968+-0.003   0.939+-0.002   0.872+-0.002   0.972   144.1
           padim         wood     1   0.953+-0.024   0.877+-0.007   0.831+-0.005   0.894   143.5
           padim         wood     2   0.960+-0.029   0.893+-0.016   0.821+-0.017   0.872   141.8
           padim         wood     4   0.968+-0.022   0.897+-0.007   0.835+-0.005   0.950   141.6
           padim         wood     8   0.985+-0.005   0.931+-0.012   0.872+-0.019   0.944   141.4
           padim         wood    16   0.984+-0.009   0.935+-0.005   0.878+-0.016   0.994   140.9
       patchcore       zipper     1   0.791+-0.017   0.963+-0.008   0.877+-0.022   0.627    90.1
       patchcore       zipper     2   0.861+-0.031   0.970+-0.001   0.902+-0.002   0.527    91.3
       patchcore       zipper     4   0.920+-0.019   0.975+-0.001   0.914+-0.005   0.860    95.6
       patchcore       zipper     8   0.938+-0.013   0.979+-0.001   0.928+-0.001   0.919    96.9
       patchcore       zipper    16   0.953+-0.011   0.981+-0.001   0.932+-0.005   0.983   100.9
           padim       zipper     1   0.818+-0.037   0.942+-0.005   0.828+-0.021   0.678   112.1
           padim       zipper     2   0.886+-0.014   0.948+-0.012   0.842+-0.031   0.711   109.7
           padim       zipper     4   0.813+-0.055   0.950+-0.007   0.845+-0.030   0.597   109.5
           padim       zipper     8   0.895+-0.022   0.973+-0.004   0.910+-0.015   0.871   109.2
           padim       zipper    16   0.911+-0.013   0.973+-0.004   0.908+-0.015   0.866   109.2

Wrote output/task6/wrn_C.json (150 runs)
